unique_id,ds,best_model
0415,2024-09-01,0
0417,2023-10-01,528
0417,2023-11-01,1011
0417,2023-12-01,463
0417,2024-01-01,441
0417,2024-02-01,512
0417,2024-03-01,580
0417,2024-04-01,372
0417,2024-05-01,524
0417,2024-06-01,587
0417,2024-07-01,502
0417,2024-08-01,320
0417,2024-09-01,446
0418,2023-10-01,16
0418,2023-11-01,16
0418,2023-12-01,16
0418,2024-01-01,16
0418,2024-02-01,16
0418,2024-03-01,16
0418,2024-04-01,16
0418,2024-05-01,16
0418,2024-06-01,16
0418,2024-07-01,16
0418,2024-08-01,16
0418,2024-09-01,16
0501,2023-10-01,61
0501,2023-11-01,61
0501,2023-12-01,61
0501,2024-01-01,61
0501,2024-02-01,61
0501,2024-03-01,61
0501,2024-04-01,61
0501,2024-05-01,61
0501,2024-06-01,61
0501,2024-07-01,61
0501,2024-08-01,61
0501,2024-09-01,61
0506,2023-10-01,84
0506,2023-11-01,84
0506,2023-12-01,84
0506,2024-01-01,84
0506,2024-02-01,84
0506,2024-03-01,84
0506,2024-04-01,84
0506,2024-05-01,84
0506,2024-06-01,84
0506,2024-07-01,84
0506,2024-08-01,84
0506,2024-09-01,84
0701,2023-10-01,0
0701,2023-11-01,1
0701,2023-12-01,0
0701,2024-01-01,0
0701,2024-02-01,1
0701,2024-03-01,0
0701,2024-04-01,0
0701,2024-05-01,0
0701,2024-06-01,0
0701,2024-07-01,0
0701,2024-08-01,0
0701,2024-09-01,1
0702,2023-10-01,27
0702,2023-11-01,27
0702,2023-12-01,27
0702,2024-01-01,27
0702,2024-02-01,27
0702,2024-03-01,27
0702,2024-04-01,27
0702,2024-05-01,27
0702,2024-06-01,27
0702,2024-07-01,27
0702,2024-08-01,27
0702,2024-09-01,27
