ds,unique_id,y
2022-07-01,0306,21
2022-08-01,0306,55
2022-09-01,0306,20
2022-10-01,0306,18
2022-11-01,0306,24
2022-12-01,0306,13
2023-01-01,0306,13
2023-02-01,0306,10
2023-03-01,0306,11
2023-04-01,0306,10
2023-05-01,0306,8
2023-06-01,0306,12
2023-07-01,0306,6
2023-08-01,0306,18
2023-09-01,0306,9
2018-01-01,0309,33
2018-02-01,0309,178
2018-03-01,0309,141
2018-04-01,0309,24
2018-05-01,0309,9
2018-06-01,0309,33
2018-07-01,0309,0
2018-08-01,0309,10
2018-09-01,0309,12
2018-10-01,0309,0
2018-11-01,0309,53
2018-12-01,0309,0
2019-01-01,0309,8
2019-02-01,0309,5
2019-03-01,0309,0
2019-04-01,0309,2
2019-05-01,0309,2
2019-06-01,0309,13
2019-07-01,0309,2
2019-08-01,0309,3
2019-09-01,0309,0
2019-10-01,0309,0
2019-11-01,0309,2
2019-12-01,0309,27
2020-01-01,0309,3
2020-02-01,0309,0
2020-03-01,0309,1
2020-04-01,0309,0
2020-05-01,0309,0
2020-06-01,0309,0
2020-07-01,0309,0
2020-08-01,0309,0
2020-09-01,0309,0
2020-10-01,0309,0
2020-11-01,0309,1
2020-12-01,0309,0
2021-01-01,0309,0
2021-02-01,0309,1
2021-03-01,0309,3
2021-04-01,0309,0
2021-05-01,0309,0
2021-06-01,0309,0
2021-07-01,0309,0
2021-08-01,0309,0
2021-09-01,0309,0
2021-10-01,0309,0
2021-11-01,0309,0
2021-12-01,0309,0
2022-01-01,0309,0
2022-02-01,0309,0
2022-03-01,0309,0
2022-04-01,0309,0
2022-05-01,0309,150
2022-06-01,0309,183
2022-07-01,0309,314
2022-08-01,0309,551
2022-09-01,0309,546
2022-10-01,0309,342
2022-11-01,0309,351
2022-12-01,0309,331
2023-01-01,0309,385
2023-02-01,0309,228
2023-03-01,0309,353
2023-04-01,0309,329
2023-05-01,0309,144
2023-06-01,0309,303
2023-07-01,0309,396
2023-08-01,0309,471
2023-09-01,0309,209
2018-01-01,0401,32
2018-02-01,0401,74
2018-03-01,0401,39
2018-04-01,0401,118
2018-05-01,0401,110
2018-06-01,0401,704
2018-07-01,0401,186
2018-08-01,0401,203
2018-09-01,0401,709
2018-10-01,0401,948
2018-11-01,0401,234
2018-12-01,0401,142
2019-01-01,0401,520
2019-02-01,0401,443
2019-03-01,0401,551
2019-04-01,0401,892
2019-05-01,0401,915
2019-06-01,0401,60
2019-07-01,0401,417
2019-08-01,0401,800
2019-09-01,0401,722
2019-10-01,0401,1182
2019-11-01,0401,744
2019-12-01,0401,220
2020-01-01,0401,798
2020-02-01,0401,476
2020-03-01,0401,1104
2020-04-01,0401,205
2020-05-01,0401,0
2020-06-01,0401,478
2020-07-01,0401,18
2020-08-01,0401,277
2020-09-01,0401,175
2020-10-01,0401,244
2020-11-01,0401,479
2020-12-01,0401,182
2021-01-01,0401,682
2021-02-01,0401,419
2021-03-01,0401,318
2021-04-01,0401,469
2021-05-01,0401,669
2021-06-01,0401,740
2021-07-01,0401,780
2021-08-01,0401,338
2021-09-01,0401,166
2021-10-01,0401,208
2021-11-01,0401,420
